City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
259,Oranjemund,NA,2022-10-09 18:25:31,-28.55,16.4333,61.57,75,63,9.48
260,Aasiaat,GL,2022-10-09 18:25:32,68.7098,-52.8699,24.46,69,92,15.99
261,Weinan,CN,2022-10-09 18:25:32,34.5036,109.5089,48.45,42,81,3.65
262,Bud,US,2022-10-09 18:25:32,39.447,-86.1758,64.35,39,3,10.71
263,Bac Lieu,VN,2022-10-09 18:25:33,9.285,105.7244,77.36,86,88,3.36
264,Dunedin,NZ,2022-10-09 18:25:33,-45.8742,170.5036,48.31,78,84,6.62
265,La Romana,DO,2022-10-09 18:25:34,18.4273,-68.9728,89.96,74,40,11.5
266,Talnakh,RU,2022-10-09 18:25:34,69.4865,88.3972,34.21,99,100,7.61
267,Isiro,CD,2022-10-09 18:25:34,2.7739,27.616,65.61,99,60,3.53
268,Banjar,ID,2022-10-09 18:25:35,-8.19,114.9675,76.95,91,100,5.32
269,Kirakira,SB,2022-10-09 18:25:35,-10.4544,161.9205,77.72,84,88,5.64
270,Zhigansk,RU,2022-10-09 18:25:35,66.7697,123.3711,25.99,97,99,7.4
271,Lagoa,PT,2022-10-09 18:25:36,39.05,-27.9833,70.95,93,10,14.34
272,Bandar-E Lengeh,IR,2022-10-09 18:25:36,26.5579,54.8807,84.31,45,0,6.91
273,Belen,TR,2022-10-09 18:26:22,36.4891,36.2233,60.94,73,40,6.91
274,Itaporanga,BR,2022-10-09 18:24:28,-7.3044,-38.1503,99.34,18,34,16.53
275,Antequera,ES,2022-10-09 18:26:37,37.0194,-4.5612,67.95,64,30,5.64
276,Karratha,AU,2022-10-09 18:26:37,-20.7377,116.8463,73.11,59,22,11.1
277,Saskylakh,RU,2022-10-09 18:26:38,71.9167,114.0833,3.24,96,80,6.78
278,Bambanglipuro,ID,2022-10-09 18:26:38,-7.95,110.2833,76.26,90,86,1.81
279,Salinas,US,2022-10-09 18:24:03,36.6777,-121.6555,57.72,88,100,0.0
280,Pevek,RU,2022-10-09 18:26:39,69.7008,170.3133,26.28,68,100,24.9
281,Teguldet,RU,2022-10-09 18:26:39,57.3064,88.1667,51.48,58,55,8.16
282,Bowen,AU,2022-10-09 18:26:39,-20.0167,148.2333,71.55,88,79,10.33
283,Flinders,AU,2022-10-09 18:26:40,-34.5833,150.8552,53.19,91,83,4.0
284,Kollam,IN,2022-10-09 18:26:40,8.8833,76.6,77.61,89,96,6.67
285,Nacala,MZ,2022-10-09 18:26:40,-14.5428,40.6728,73.42,81,0,5.55
286,Matadi,CD,2022-10-09 18:26:41,-5.8167,13.45,85.35,61,66,8.55
287,Akdepe,TM,2022-10-09 18:26:41,42.0551,59.3788,55.49,37,0,13.47
288,Oktyabrskiy,RU,2022-10-09 18:26:41,54.4815,53.471,47.86,79,23,7.2
289,Westport,US,2022-10-09 18:23:58,41.1415,-73.3579,64.74,48,0,16.11
290,Sosnovo-Ozerskoye,RU,2022-10-09 18:26:42,52.5249,111.5418,26.06,60,73,6.24
291,Ibra,OM,2022-10-09 18:26:42,22.6906,58.5334,78.33,27,2,0.29
